cb_config_list,cb_nodes,romio_cb_read,romio_cb_write,romio_ds_read,romio_ds_write,romio_filesystem_type,romio_no_indep_rw,striping_factor,striping_unit,nodes,num_ranks,ratio
*:*,32,enable,enable,disable,automatic,LUSTRE:,true,48,134217728,1,8,2.9945468071667816
*:1,48,automatic,automatic,automatic,automatic,UFS:,false,40,1048576,1,8,2.9902250823725676
*:*,32,automatic,enable,disable,disable,UFS:,false,64,4194304,1,8,2.9909706900412316
*:*,2,disable,disable,automatic,disable,UFS:,false,8,33554432,1,8,2.9915836603184323
*:*,128,automatic,automatic,enable,disable,LUSTRE:,true,40,33554432,1,8,2.992797542002446
*:1,4,enable,automatic,disable,enable,LUSTRE:,false,64,1048576,1,8,2.9957281470185952
*:1,8,enable,disable,enable,enable,LUSTRE:,true,16,4194304,1,8,2.993664796653962
*:1,48,disable,disable,disable,automatic,UFS:,false,4,67108864,1,8,2.9940857885460606
*:*,4,disable,disable,disable,enable,LUSTRE:,true,8,134217728,1,8,2.9953951102088388
*:1,128,enable,enable,enable,disable,UFS:,false,24,33554432,1,8,2.995064286149534
*:1,16,automatic,enable,automatic,disable,UFS:,false,48,2097152,1,8,2.9950029776483578
*:1,1,enable,disable,automatic,automatic,LUSTRE:,true,24,8388608,1,8,2.9950985059393007
*:1,16,automatic,enable,disable,automatic,UFS:,false,16,16777216,1,8,2.9949937103026074
*:1,24,disable,automatic,automatic,automatic,UFS:,false,4,16777216,1,8,2.994253220932839
*:*,1,automatic,automatic,disable,enable,UFS:,true,32,67108864,1,8,2.994727120450847
*:*,64,enable,disable,enable,enable,LUSTRE:,true,32,4194304,1,8,2.992719955038724
*:*,64,disable,enable,automatic,disable,LUSTRE:,false,48,134217728,1,8,2.9950400476048795
*:1,8,disable,disable,automatic,enable,LUSTRE:,true,24,1048576,1,8,2.995709603407938
*:*,2,enable,automatic,enable,enable,LUSTRE:,true,4,8388608,1,8,2.995262486616084
*:*,24,enable,automatic,enable,automatic,UFS:,true,32,2097152,1,8,2.994859696637132
